City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
304,Butte,US,39.6499,-121.5677,98.91,23,0,5.75,clear sky
305,Kyzyl-Suu,KG,42.3414,78.0056,62.15,88,100,4.99,overcast clouds
306,Albanel,CA,48.8832,-72.4487,68.14,94,100,5.75,overcast clouds
307,Baracoa,CU,20.3467,-74.4958,82.62,72,50,9.78,scattered clouds
308,Sambava,MG,-14.2667,50.1667,67.59,89,40,10.38,scattered clouds
309,Synya,RU,65.3718,58.0387,58.08,69,10,6.55,clear sky
310,Shawinigan,CA,46.5668,-72.7491,69.04,88,85,9.22,overcast clouds
311,Mandali,IQ,33.7499,45.5541,92.34,9,0,7.67,clear sky
312,Russell,US,32.3502,-85.1999,91.0,55,0,6.91,clear sky
313,Itamaraju,BR,-17.0392,-39.5311,65.75,81,61,4.63,broken clouds
314,Khani,GE,41.9563,42.9566,56.77,95,4,2.13,clear sky
315,Providencia,MX,28.7167,-111.5833,97.05,38,56,7.76,broken clouds
316,Barroso,BR,-21.1869,-43.9758,64.58,48,4,5.03,clear sky
317,Ambon,ID,-3.6954,128.1814,78.94,89,75,5.75,broken clouds
318,Aquin,HT,18.2833,-73.4,82.54,68,69,5.5,broken clouds
319,Mackenzie,CA,55.2999,-123.1698,88.02,30,0,5.75,clear sky
320,Umm Kaddadah,SD,13.6017,26.6876,83.01,53,100,9.31,light rain
321,Hualmay,PE,-11.0964,-77.6139,64.29,77,22,11.03,few clouds
322,Shingu,JP,33.7333,135.9833,79.41,87,66,4.92,broken clouds
323,Leningradskiy,RU,69.3833,178.4167,41.47,75,97,7.54,overcast clouds
324,Esso,RU,55.9333,158.7,53.51,87,97,5.1,light rain
325,Ust-Karsk,RU,52.7011,118.8077,58.37,88,1,3.36,clear sky
326,West Bay,KY,19.3667,-81.4167,86.07,78,75,5.75,broken clouds
327,Santa Maria,BR,-29.6842,-53.8069,60.1,100,100,9.22,moderate rain
328,Marawi,PH,7.9986,124.2928,69.13,92,100,4.25,overcast clouds
329,Chapleau,CA,47.8405,-83.4034,60.89,88,75,6.91,broken clouds
330,Vila Velha,BR,-20.3297,-40.2925,75.15,81,0,13.8,clear sky
331,Sola,VU,-13.8833,167.55,84.87,79,75,5.75,broken clouds
332,Taoudenni,ML,22.6783,-3.9836,106.43,13,74,12.59,broken clouds
333,Vryburg,ZA,-26.9566,24.7284,59.74,37,49,13.47,scattered clouds
334,Brae,GB,60.3964,-1.353,53.55,83,100,8.21,overcast clouds
335,Lethem,GY,3.3803,-59.7968,78.94,84,99,2.66,overcast clouds
336,Yuncheng,CN,35.0231,110.9928,72.54,87,11,5.5,few clouds
337,Kushiro,JP,42.975,144.3747,67.15,94,75,5.75,broken clouds
338,Saint-Paul,RE,-21.0096,55.2707,68.11,80,94,3.04,overcast clouds
339,Hokitika,NZ,-42.7167,170.9667,50.43,75,100,13.49,overcast clouds
340,Ulaangom,MN,49.9811,92.0667,57.16,56,7,4.63,clear sky
341,Bull Savanna,JM,17.8868,-77.5902,81.59,67,33,13.0,scattered clouds
342,Nalut,LY,30.3333,10.85,91.85,17,72,11.36,broken clouds
343,Luangwa,ZM,-15.6167,30.4167,58.68,72,0,2.93,clear sky
344,Edson,CA,53.5835,-116.4356,91.51,19,0,9.22,clear sky
